sep=;
Series;Time;Value
name;2017-03-08T06:32:39.000Z;0.23338412612269932
name;2017-03-08T06:32:49.000Z;0.23810276678491474
name;2017-03-08T06:32:59.000Z;0.3338581290935982
name;2017-03-08T06:33:09.000Z;0.35605156145290917
name;2017-03-08T06:33:19.000Z;0.3933640321600412
name;2017-03-08T06:33:29.000Z;0.38113254631205357
name;2017-03-08T06:33:39.000Z;0.3764894766666517
name;2017-03-08T06:33:49.000Z;0.37435722332655685
name;2017-03-08T06:33:59.000Z;0.2719482304545454
name;2017-03-08T06:34:09.000Z;0.24733135590909094
name;2017-03-08T06:34:19.000Z;0.2071359142773924
name;2017-03-08T06:34:29.000Z;0.22887630045454543
name;2017-03-08T06:34:39.000Z;0.22684548181818187
name;2017-03-08T06:34:49.000Z;0.23428393590909083
name;2017-03-08T06:34:59.000Z;2.0729860443745385
name;2017-03-08T06:35:09.000Z;4.035879878187659
name;2017-03-08T06:35:19.000Z;6.194434375880322
name;2017-03-08T06:35:29.000Z;8.392738636951341
name;2017-03-08T06:35:39.000Z;10.97058551026655
name;2017-03-08T06:35:49.000Z;12.939219737027912
name;2017-03-08T06:35:59.000Z;12.59293110596354
name;2017-03-08T06:36:09.000Z;12.751485596994957
name;2017-03-08T06:36:19.000Z;12.532022340028496
name;2017-03-08T06:36:29.000Z;12.276730494469527
name;2017-03-08T06:36:39.000Z;12.63826972863636
name;2017-03-08T06:36:49.000Z;13.111847145227271
name;2017-03-08T06:36:59.000Z;11.752581721729353
name;2017-03-08T06:37:09.000Z;12.990816654999998
name;2017-03-08T06:37:19.000Z;12.86865202204545
name;2017-03-08T06:37:29.000Z;13.011161593636364
name;2017-03-08T06:37:39.000Z;13.041496675454544
name;2017-03-08T06:37:49.000Z;13.2050248775
name;2017-03-08T06:37:59.000Z;12.68431336659091
name;2017-03-08T06:38:09.000Z;12.80788458590909
name;2017-03-08T06:38:19.000Z;12.755112987500006
name;2017-03-08T06:38:29.000Z;13.095336399090913
name;2017-03-08T06:38:39.000Z;12.813606220395982
name;2017-03-08T06:38:49.000Z;12.852474113999705
name;2017-03-08T06:38:59.000Z;13.00880330922698
name;2017-03-08T06:39:09.000Z;12.935264511995568
name;2017-03-08T06:39:19.000Z;12.643672433359207
name;2017-03-08T06:39:29.000Z;12.615120274950117
name;2017-03-08T06:39:39.000Z;12.858057918863636
name;2017-03-08T06:39:49.000Z;12.774639703409091
